"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","27","53","35.5","37.5","15.5","540","0.774","615","0.576","553","0.36","0.559","0.613","32.5","7.9","8.4","1.5","0.5","4","40.4","40.9","48.8","14.6","119.9","110"
"","Shai Gilgeous-Alexander","Okc","*","G","27.7","54","33.5","33.4","9.7","497","0.895","822","0.601","243","0.383","0.595","0.667","31.7","4.5","6.6","1.4","0.8","2.1","36.2","38.3","42.8","11.7","134.1","106.1"
"","Anthony Edwards","Min","*","G","24.6","56","35.5","31.6","11.9","405","0.798","667","0.558","483","0.402","0.577","0.621","29.4","5","3.7","1.4","0.8","2.8","34.5","33.1","38.2","9.2","118.7","112.7"
"","Tyrese Maxey","Phi","*","G","25.3","61","38.3","29.9","10","373","0.893","794","0.521","542","0.373","0.537","0.589","29","4.1","6.7","2","0.8","2.4","33.1","35.6","39.7","9.7","121.1","114.1"
"","Nikola Jokic","Den","*","C","31.1","50","34.6","31.3","17.7","393","0.832","643","0.642","238","0.391","0.627","0.679","28.6","12.5","10.4","1.4","0.8","3.8","41.2","39","51.6","17.9","135.4","107.3"
"","Kawhi Leonard","Lac","*","F","34.7","51","32.4","33.5","9.6","340","0.906","644","0.57","350","0.38","0.57","0.63","28.3","6.4","3.8","2","0.5","2.1","34.6","32","38.4","10.9","125.1","113.2"
"","Jaylen Brown","Bos","*","G-F","29.4","58","34","36.2","14","404","0.78","929","0.527","333","0.348","0.526","0.571","28.3","7.1","5.1","1","0.4","3.6","35.5","33.5","40.6","11.9","113.8","106.9"
"","Donovan Mitchell","Cle","*","G","29.5","58","33.5","32.7","12.7","360","0.856","643","0.575","541","0.366","0.563","0.612","28.3","4.5","5.8","1.6","0.3","3","32.8","34.1","38.6","10.8","120.1","111.3"
"","Giannis Antetokounmpo","Mil","*","F","31.3","34","29","36.3","16.7","333","0.649","509","0.658","43","0.349","0.648","0.666","27.4","9.8","5.4","1","0.7","3.3","37.1","32.8","42.6","15.6","126.4","109.4"
"","Stephen Curry","Gol","*","G","38","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.7","113.5"
"","Lauri Markkanen","Uta","*","F-C","28.8","42","34.3","28.3","7.3","268","0.896","481","0.559","324","0.355","0.548","0.608","26.7","6.9","2.1","1","0.5","1.5","33.6","28.9","35.7","8.5","122.9","120.4"
"","Joel Embiid","Phi","*","C-F","32","33","31.2","33.8","14","282","0.858","467","0.546","133","0.316","0.53","0.606","26.6","7.5","3.9","0.6","1.1","3","34.2","30.5","38.1","11.8","119.4","112"
"","Jalen Brunson","Nyk","*","G","29.5","62","34.8","30.3","10.5","357","0.84","777","0.515","461","0.38","0.535","0.582","26.2","3.5","6.5","0.7","0.1","2.3","29.7","32.7","36.2","9.7","121.7","112.1"
"","Kevin Durant","Hou","*","F","37.4","62","36.4","27.1","15.3","372","0.887","745","0.566","353","0.405","0.58","0.635","25.9","5.5","4.5","0.9","0.9","3.2","31.3","30.3","35.8","9.5","123.4","112.2"
"","Jamal Murray","Den","*","G","29","61","34.9","28.7","11.2","316","0.877","673","0.519","449","0.43","0.569","0.616","25.5","4.3","7.1","0.9","0.4","2.3","29.8","32.6","37","10.5","124.4","116.3"
"","James Harden","Lac","","G","36.5","44","35.4","31.2","17.4","374","0.901","382","0.492","389","0.347","0.506","0.598","25.4","4.8","8.1","1.3","0.4","3.7","30.2","33.5","38.4","11.3","119.3","114.5"
"","Cade Cunningham","Det","*","G","24.5","57","35","30.8","16.2","366","0.809","769","0.507","340","0.35","0.513","0.564","25.1","5.6","9.9","1.4","0.9","3.8","30.8","35.1","40.7","12.8","117.5","105"
"","Devin Booker","Pho","*","G","29.4","49","33.4","31.5","15.2","381","0.869","607","0.511","281","0.32","0.501","0.578","24.9","4","6.1","0.9","0.3","3.2","28.9","31","35","10.1","117.4","112"
"","Deni Avdija","Por","*","F","25.2","50","33.3","29.1","18.8","452","0.803","502","0.536","308","0.338","0.525","0.601","24.3","7","6.7","0.8","0.6","3.8","31.2","30.9","37.9","12.5","119.1","111.1"
"","Victor Wembanyama","San","*","F-C","22.2","51","29.3","31.6","13.7","368","0.815","554","0.578","272","0.36","0.565","0.625","24.2","11.1","2.9","1","3","2.6","35.3","27.1","38.2","12.6","120.4","100"
"","Michael Porter Jr.","Bro","*","F","27.7","52","32.5","30.4","11.3","228","0.86","473","0.567","485","0.363","0.555","0.595","24.2","7.1","3","1.1","0.3","2.3","31.3","27.3","34.3","9.9","114.3","114.3"
"","Pascal Siakam","Ind","*","F","31.9","55","33.5","29.6","10.5","343","0.682","755","0.527","265","0.362","0.531","0.563","24","6.7","3.9","1.1","0.4","2.2","30.6","27.8","34.5","10.2","111.4","113.9"
"","Austin Reaves","Lal","*","G","27.8","39","33.6","27.5","16.7","291","0.873","331","0.586","251","0.375","0.576","0.651","23.7","4.8","5.5","1.1","0.4","3","28.5","29.2","33.9","10.2","123.9","113.1"
"","Keyonte George","Uta","*","G","22.3","54","33.1","28.1","15.9","378","0.892","519","0.516","361","0.371","0.533","0.609","23.6","3.7","6.1","1.1","0.3","3.1","27.3","29.8","33.4","9.8","118.2","120"
"","Jalen Johnson","Atl","*","F","24.2","58","35.2","27.2","16.4","331","0.782","733","0.548","261","0.345","0.54","0.585","23","10.4","7.9","1.3","0.5","3.4","33.4","30.9","41.3","14","116.5","109.1"
"","Norman Powell","Mia","*","G","32.8","49","30","27.5","11.4","278","0.827","420","0.543","356","0.39","0.563","0.614","22.5","3.6","2.6","1.2","0.2","2","26.1","25.1","28.7","7.9","116.3","109.3"
"","Jaren Jackson Jr.","Uta","*","F-C","26.5","3","24.1","36.1","12.4","16","0.875","34","0.559","15","0.333","0.541","0.598","22.3","4.3","2.7","2","0.3","2.3","26.7","25","29.3","10.6","110.6","108.7"
"","Paolo Banchero","Orl","*","F","23.3","54","34.8","27.5","15.3","422","0.773","664","0.514","209","0.311","0.502","0.568","22.3","8.6","5","0.6","0.6","2.9","30.8","27.3","35.8","11.3","112.4","110.2"
"","Tyler Herro","Mia","*","G","26.1","20","30.6","26","10.5","72","0.917","197","0.563","127","0.402","0.579","0.62","22.1","4.6","3.7","0.8","0.4","1.9","26.6","25.8","30.3","9.4","119.5","110.7"
"","Trey Murphy III","Nor","*","F","25.7","58","35.4","23.1","10.1","224","0.888","441","0.574","494","0.389","0.579","0.62","22.1","5.7","3.8","1.6","0.3","1.8","27.7","25.9","31.6","8.8","123.7","116.3"
"","Brandon Ingram","Tor","*","F","28.5","63","34","27.2","12.7","288","0.823","779","0.506","301","0.365","0.518","0.561","21.5","5.7","3.8","0.8","0.7","2.5","27.2","25.3","31","9.1","109.1","111.5"
"","LeBron James","Lal","*","F","41.2","44","33.1","28.1","16","231","0.745","501","0.581","201","0.313","0.549","0.587","21.4","5.6","7","1.1","0.6","3","27.1","28.4","34.1","11.4","116","114.8"
"","Shaedon Sharpe","Por","*","G","22.8","48","30","30.3","14.5","194","0.784","550","0.518","297","0.34","0.515","0.55","21.4","4.4","2.6","1.4","0.1","3","25.8","24","28.4","8.3","105.3","113.2"
"","Zion Williamson","Nor","*","F","25.7","50","29.6","26.9","13.3","379","0.715","678","0.588","4","0.25","0.587","0.632","21.4","5.9","3.4","1","0.5","2.1","27.3","24.8","30.7","10.2","125","114.9"
"","Jonathan Kuminga","Atl","*","F","23.4","3","26.5","25.5","20.3","22","0.773","22","0.727","9","0.556","0.758","0.787","21.3","7.7","3.3","1.7","0.3","2.7","29","24.7","32.3","12.3","136.9","111.6"
"","Franz Wagner","Orl","*","F","24.5","28","31.8","26.3","10.1","174","0.828","313","0.521","115","0.365","0.528","0.591","21.3","5.8","3.6","1.1","0.3","1.7","27","24.9","30.6","9.6","120.5","109.7"
"","Julius Randle","Min","*","F-C","31.3","66","33.1","26.3","14.9","406","0.818","709","0.553","299","0.308","0.526","0.587","21.1","7","5.2","1.1","0.2","2.7","28","26.3","33.2","11.1","119.1","108.4"
"","Dillon Brooks","Pho","*","G-F","30.1","50","30.6","28.9","9.4","188","0.856","530","0.502","341","0.343","0.507","0.547","20.9","3.7","1.8","1","0.2","1.8","24.5","22.6","26.3","6.8","109.7","108.1"
"","Brandon Miller","Cha","*","F","23.3","50","30.2","29.4","14.9","186","0.892","419","0.484","406","0.379","0.526","0.57","20.7","5.1","3.4","1.1","0.8","2.9","25.8","24.1","29.2","9.4","111.1","107.8"
"","Desmond Bane","Orl","*","G","27.7","64","34.2","23.5","11.8","263","0.92","632","0.543","334","0.389","0.557","0.609","20.6","4.2","4.2","1","0.5","2","24.8","24.8","29","8.3","121.2","109.2"
"","Anthony Davis","Dal","*","F-C","33","20","31.3","27.6","10.9","81","0.728","297","0.535","37","0.27","0.521","0.551","20.4","11.1","2.8","1.1","1.7","2.1","31.4","23.2","34.2","11","111.6","107.8"
"","James Harden","Cle","*","G","36.5","12","33.4","23.4","20","66","0.803","74","0.527","82","0.451","0.606","0.654","20.2","5","7.8","0.5","0.5","3.3","25.2","28","33","11.1","125.6","113.6"
"","Alperen Sengun","Hou","*","C","23.6","58","33.4","27.1","17.4","318","0.686","812","0.532","104","0.279","0.519","0.554","20.2","9","6.1","1.2","1.1","3.3","29.1","26.2","35.2","12.4","115.3","105.3"
"","Cooper Flagg","Dal","*","F","19.2","53","33.7","25.7","12.1","240","0.804","684","0.516","184","0.299","0.502","0.546","20.1","6.7","4.2","1.2","0.9","2.2","26.8","24.3","31","9.8","109.5","111"
"","Ty Jerome","Mem","*","G-F","28.7","11","21.9","33.4","11.7","51","0.882","79","0.557","72","0.403","0.579","0.634","20","2.7","5.6","1.3","0.2","1.8","22.7","25.6","28.4","12.3","129.1","109.6"
"","Nickeil Alexander-Walker","Atl","*","G","27.5","62","33.2","24.2","12.3","232","0.892","455","0.508","502","0.38","0.541","0.586","20","3.5","3.7","1.2","0.5","2.2","23.5","23.8","27.2","7.7","112.6","114"
"","Bam Adebayo","Mia","*","C-F","28.7","58","31.7","25.3","10","317","0.782","600","0.508","307","0.329","0.503","0.555","20","9.8","2.9","1.1","0.7","1.7","29.8","22.9","32.7","10.5","114.8","107.2"
"","Karl-Anthony Towns","Nyk","*","C-F","30.3","63","31.2","25.5","15.3","357","0.854","601","0.547","270","0.37","0.55","0.614","20","11.9","2.9","0.9","0.6","2.5","31.9","23","34.8","11.3","122.7","100.1"
"","Jimmy Butler","Gol","*","F","36.5","38","31.1","23.2","11.5","287","0.864","376","0.553","85","0.376","0.555","0.647","20","5.6","4.9","1.4","0.2","1.6","25.6","24.9","30.4","10.5","137.1","115.2"
"","Jayson Tatum","Bos","*","F-G","28","3","27","33.8","6.6","7","0.857","25","0.52","31","0.29","0.473","0.499","19.7","6.7","3.7","1","0","1.3","26.3","23.3","30","11.7","109.5","108.5"
"","Ja Morant","Mem","*","G","26.6","20","28.4","32.4","18","117","0.897","237","0.473","85","0.235","0.441","0.521","19.5","3.3","8.1","1","0.3","3.6","22.7","27.5","30.8","11.3","107.1","114.1"
"","Bennedict Mathurin","Lac","*","G-F","23.7","13","29.5","29.7","12.7","101","0.851","138","0.493","47","0.213","0.449","0.549","19.4","6.1","2.4","1.2","0.5","2.1","25.5","21.8","27.8","8.9","112","107.4"
"","LaMelo Ball","Cha","*","G","24.6","57","27.7","32","14.1","135","0.904","422","0.445","555","0.364","0.503","0.533","19.4","4.8","7.2","1.1","0.2","2.8","24.2","26.5","31.4","12.6","114.2","107"
"","Trae Young","Atl","","G","27.5","10","28","28.7","16.1","73","0.863","76","0.5","59","0.305","0.481","0.577","19.3","1.5","8.9","1","0.1","2.6","20.8","28.2","29.7","9.1","120.8","114.4"
"","Zach LaVine","Sac","*","G","31","39","31.4","23.7","11.9","142","0.88","293","0.556","254","0.39","0.569","0.614","19.2","2.8","2.3","0.7","0.3","1.9","21.9","21.5","24.2","6.3","114.4","119.8"
"","Jaren Jackson Jr.","Mem","","F-C","26.5","45","30.7","25.6","13","187","0.797","450","0.531","220","0.359","0.534","0.574","19.2","5.8","1.9","1","1.5","2.2","25","21.1","26.9","7.8","107.6","106.5"
"","Kon Knueppel","Cha","*","G-F","20.6","66","32","22.2","13.3","191","0.874","360","0.561","529","0.44","0.62","0.653","19.2","5.3","3.4","0.7","0.2","2.1","24.6","22.7","28","8.8","126.5","111.5"
"","De'Aaron Fox","San","*","G","28.2","56","31.5","24.8","13.5","197","0.756","510","0.58","311","0.344","0.556","0.585","19","3.7","6.3","1.2","0.3","2.3","22.7","25.3","29","9.7","118","108.2"
"","Jerami Grant","Por","*","F","32","50","29.8","24.1","13.7","303","0.818","347","0.507","301","0.385","0.54","0.607","19","3.5","2.3","0.7","0.6","2.1","22.5","21.2","24.7","7.2","119.6","113.3"
"","CJ McCollum","Was","","G","34.5","35","30.9","24.4","9.9","102","0.804","285","0.505","244","0.393","0.544","0.573","18.8","3.5","3.6","0.7","0.3","1.7","22.3","22.4","25.9","8","114.7","121.5"
"","Scottie Barnes","Tor","*","F-G","24.6","63","34.3","23.8","15.3","243","0.835","732","0.552","194","0.299","0.53","0.574","18.8","7.9","5.3","1.4","1.5","2.7","26.7","24.1","32","10.8","115","106.8"
"","RJ Barrett","Tor","*","F-G","25.7","41","29.9","25.4","10.6","195","0.697","367","0.564","206","0.35","0.55","0.581","18.7","5.4","3.3","0.8","0.3","1.7","24.1","22","27.4","9.3","115","108.4"
"","Coby White","Chi","","G","26.1","29","29.1","27.4","18.3","154","0.805","185","0.541","208","0.346","0.529","0.586","18.6","3.7","4.7","0.7","0.1","3","22.3","23.3","27","9.4","108.6","113.3"
"","Jalen Duren","Det","*","C","22.3","54","27.8","23.3","13.1","307","0.73","618","0.631","0","0","0.631","0.667","18.6","10.6","1.7","0.9","0.9","1.7","29.1","20.3","30.9","10","132.7","100.8"
"","DeMar DeRozan","Sac","*","G-F","36.6","66","31.7","22.4","8.1","371","0.865","733","0.523","130","0.323","0.517","0.591","18.4","3.1","3.9","1.1","0.3","1.2","21.4","22.3","25.3","7.6","123.6","119.5"
"","CJ McCollum","Atl","*","G","34.5","25","28.4","27.2","11.4","95","0.747","214","0.519","159","0.346","0.519","0.552","18.3","3.4","3.8","0.8","0.6","1.9","21.7","22.1","25.5","8.7","109.5","116"
"","Darius Garland","Cle","","G","26.1","26","30.5","25.7","16.2","79","0.861","213","0.521","164","0.36","0.529","0.567","18","2.4","6.9","0.8","0.1","2.8","20.4","24.9","27.3","8.8","114.1","115"
"","Darius Garland","Lac","*","G","26.1","5","25.3","30.8","18","11","0.727","31","0.484","37","0.459","0.596","0.611","17.8","2.4","5.8","1","0","3","20.2","23.6","26","9.9","115","114.5"
"","Bennedict Mathurin","Ind","","G-F","23.7","28","31.8","23","15.2","146","0.884","202","0.48","156","0.372","0.514","0.589","17.8","5.4","2.3","0.6","0.1","2.3","23.1","20","25.4","7.6","109.6","113.5"
"","Josh Giddey","Chi","*","G","23.4","43","31.6","25.6","21.4","202","0.762","365","0.504","213","0.376","0.526","0.571","17.7","8.4","8.7","1","0.4","3.7","26.1","26.4","34.8","13.8","113.4","113.3"
"","Evan Mobley","Cle","*","C","24.7","51","32.5","22.1","12.7","231","0.623","487","0.602","188","0.309","0.563","0.582","17.7","8.7","3.7","0.8","1.9","1.9","26.5","21.4","30.1","10.2","118.7","108.7"
"","Amen Thompson","Hou","*","G-F","23.1","63","37","20.1","15.9","306","0.765","727","0.563","100","0.21","0.533","0.58","17.7","7.6","5.3","1.5","0.6","2.5","25.3","23","30.6","9.7","122.3","111"
"","Dejounte Murray","Nor","*","G","29.5","7","26.5","28.4","22","30","0.867","56","0.625","32","0.281","0.551","0.608","17.6","5.3","5.4","1.9","0.3","3.6","22.9","23","28.3","12","110.1","107.6"
"","Jalen Williams","Okc","*","G-F","24.9","26","29.1","26.3","12","102","0.833","301","0.515","64","0.313","0.507","0.555","17.5","4.7","5.4","1.3","0.3","1.9","22.2","22.9","27.6","10.5","114.5","104.1"
"","Kevin Porter Jr.","Mil","*","G-F","25.9","35","33.4","24.3","17.7","144","0.868","342","0.515","136","0.331","0.509","0.565","17.5","5.2","7.4","2.2","0.5","2.9","22.7","24.9","30","10.5","114.3","113.3"
"","Derrick White","Bos","*","G","31.7","63","34.3","23.1","10.3","180","0.9","410","0.485","551","0.327","0.488","0.529","17.5","4.5","5.7","1.2","1.5","1.7","21.9","23.2","27.6","8.9","118.4","113.6"
"","Miles Bridges","Cha","*","F","28","62","31.8","22.8","9.5","217","0.834","489","0.538","386","0.326","0.517","0.559","17.5","5.9","3.4","0.6","0.5","1.5","23.4","20.9","26.8","8.9","118.7","112.6"
"","Grayson Allen","Pho","*","G","30.4","42","30","23.9","10.9","133","0.865","184","0.516","397","0.355","0.528","0.569","17.3","3","4.1","1.4","0.3","1.7","20.4","21.5","24.5","8","119.2","112.1"
"","Saddiq Bey","Nor","*","G-F","26.9","60","30.9","21.4","6.4","254","0.839","448","0.531","338","0.346","0.526","0.579","17.3","5.8","2.5","0.9","0.1","0.9","23.1","19.9","25.6","8.2","124.7","119.2"
"","Immanuel Quickley","Tor","*","G","26.7","62","32.5","21.5","10.5","201","0.821","391","0.532","436","0.376","0.549","0.586","17.3","4.2","6.1","1.2","0.1","1.6","21.5","23.4","27.6","9.4","122","110.9"
"","Chet Holmgren","Okc","*","C-F","23.9","56","29.3","22.1","12.2","232","0.784","445","0.64","202","0.356","0.607","0.646","17.3","9","1.8","0.5","1.9","1.6","26.3","19","28.1","8.9","125","101"
"","Andrew Nembhard","Ind","*","G-F","26.2","50","31.4","23.9","15.7","201","0.811","411","0.491","265","0.362","0.512","0.559","17.1","2.8","7.4","0.9","0.1","2.5","19.9","24.5","27.3","9","113.2","116.8"
"","Alexandre Sarr","Was","*","C","20.9","43","27.8","25.6","10.7","134","0.687","472","0.54","129","0.349","0.537","0.558","17.1","7.7","2.7","0.8","2","1.7","24.8","19.9","27.5","10.2","114","116.6"
"","Kristaps Porzingis","Atl","","F-C","30.6","17","24.3","26.4","7.1","81","0.84","124","0.524","86","0.36","0.531","0.592","17.1","5.1","2.7","0.5","1.3","0.9","22.2","19.8","24.9","10.2","123.3","105.4"
"","Nikola Vucevic","Chi","","C","35.4","48","30.8","21.7","9.5","74","0.838","442","0.568","218","0.376","0.567","0.585","16.9","9","3.8","0.7","0.6","1.4","25.9","20.6","29.6","10.8","120.2","112.4"
"","Payton Pritchard","Bos","*","G","28.1","63","32.5","21.2","8.7","114","0.868","421","0.568","448","0.362","0.555","0.578","16.9","4.1","5.4","0.8","0.1","1.3","21","22.2","26.3","8.9","126.8","114.4"
"","Aaron Gordon","Den","*","F","30.5","26","27.5","22.9","7.8","121","0.793","183","0.557","114","0.386","0.566","0.617","16.6","6.1","2.5","0.7","0.2","1","22.7","19.1","25.2","9.2","128.1","113.8"
"","Ryan Rollins","Mil","*","G","23.7","62","32.3","23.6","16.2","123","0.772","480","0.506","370","0.405","0.551","0.57","16.6","4.7","5.5","1.5","0.4","2.6","21.3","22.1","26.8","9.3","110.4","112.7"
"","O.G. Anunoby","Nyk","*","F-G","28.7","53","33.2","19.9","13.6","176","0.807","335","0.585","310","0.371","0.571","0.608","16.6","5.2","2.2","1.7","0.7","1.9","21.8","18.8","24","6.9","117.6","108.1"
"","Jrue Holiday","Por","*","G","35.7","37","28.9","23.7","17.9","78","0.821","250","0.544","236","0.386","0.561","0.585","16.5","4.4","6.2","1.2","0.1","2.9","20.9","22.7","27.1","10.6","117.5","114.9"
"","Stephon Castle","San","*","G","21.4","55","29.7","24.9","20.7","309","0.725","464","0.534","194","0.304","0.511","0.565","16.3","4.9","6.9","1.3","0.3","3.1","21.2","23.2","28.1","11","113.5","103.1"
"","Collin Sexton","Chi","*","G","27.2","12","25.1","25.5","16.2","37","0.811","72","0.597","67","0.388","0.59","0.625","16.2","2.2","2.1","1.3","0.1","2.3","18.3","18.3","20.4","6.7","109.5","112.2"
"","Onyeka Okongwu","Atl","*","F-C","25.2","59","31.4","20.2","13.1","158","0.766","404","0.564","317","0.391","0.574","0.6","16.1","7.8","3.3","1.2","1.1","1.8","23.9","19.3","27.2","9.5","117.5","106.2"
"","Paul George","Phi","*","F","35.9","27","30.5","22.1","11","76","0.855","181","0.464","173","0.382","0.517","0.556","16","5.2","3.7","1.5","0.5","1.6","21.1","19.7","24.9","8.9","113.6","110.8"
"","Andrew Wiggins","Mia","*","F","31","57","31","20","11.2","137","0.788","438","0.523","283","0.399","0.553","0.579","15.9","5.1","2.8","1.1","1","1.6","21","18.7","23.8","7.9","116.2","109.5"
"","Domantas Sabonis","Sac","*","F-C","29.9","19","29.7","23","18.7","77","0.727","194","0.593","27","0.185","0.554","0.59","15.8","11.4","4.1","0.9","0.2","2.7","27.2","19.9","31.3","12.2","116.2","107.9"
"","Matas Buzelis","Chi","*","F","21.4","64","28.7","22.4","14.4","196","0.781","381","0.58","381","0.365","0.564","0.597","15.8","5.5","2.1","0.7","1.5","2","21.3","17.9","23.4","7.9","110.2","112.2"
"","Cam Thomas","Bro","","G","24.4","24","24.2","30.2","13.5","107","0.841","191","0.445","117","0.325","0.461","0.527","15.6","1.8","3.1","0.2","0.1","2","17.4","18.7","20.5","7.3","104.5","121.1"
"","Russell Westbrook","Sac","*","G","37.3","61","28.9","26.1","19.8","173","0.711","446","0.502","362","0.343","0.507","0.533","15.5","5.4","6.5","1.3","0.2","3.3","20.9","22","27.4","11.3","104.7","115"
"","Jalen Green","Pho","*","G","24.1","17","23.4","33.1","12.3","42","0.762","132","0.47","124","0.282","0.447","0.475","15.4","3.2","2.4","1.1","0.1","2.1","18.6","17.7","20.9","8.4","95.5","113.7"
"","VJ Edgecombe","Phi","*","G","20.6","58","35.1","19.5","12.2","142","0.81","439","0.481","332","0.358","0.505","0.536","15.4","5.5","3.9","1.5","0.5","1.8","20.9","19.3","24.8","7.9","112.3","111.1"
"","Jabari Smith Jr.","Hou","*","F","22.8","61","34.8","17.7","9.7","162","0.778","383","0.538","362","0.367","0.544","0.574","15.4","6.8","1.8","0.8","0.9","1.3","22.2","17.2","24","6.6","120.9","109.6"
"","Anthony Black","Orl","*","G","22.1","60","30.7","22.1","14.5","215","0.73","453","0.521","284","0.338","0.516","0.551","15.3","3.9","3.8","1.4","0.7","2.1","19.2","19.1","23","7.9","108.4","108.2"
"","Jarrett Allen","Cle","*","C","27.9","51","27.5","19.4","12.5","229","0.725","471","0.648","10","0.1","0.637","0.67","15.3","8.5","1.9","1","0.9","1.4","23.7","17.2","25.6","9.1","133.4","109"
"","Anfernee Simons","Chi","*","G","26.8","6","28.4","23.6","13.9","5","1","30","0.633","50","0.32","0.538","0.554","15.2","2.8","3","0","0.3","2.2","18","18.2","21","7.1","103.3","117.5"
"","Jaime Jaquez Jr.","Mia","*","G","25.1","61","28.7","22","15","193","0.762","609","0.547","127","0.291","0.528","0.563","15.1","5.3","4.7","0.8","0.3","2.1","20.4","19.8","25.1","10.1","113.4","109.8"
"","Naji Marshall","Dal","*","F","28.1","62","29.5","19.7","12.3","248","0.766","482","0.608","174","0.299","0.566","0.609","15","4.7","3.1","1","0.1","1.5","19.7","18.1","22.8","8.2","119.8","111.7"
"","Ayo Dosunmu","Chi","","G","26.1","45","26.4","21","11.1","105","0.857","293","0.556","193","0.451","0.604","0.636","15","3","3.6","0.8","0.3","1.4","18.1","18.7","21.7","8.3","124.6","115.9"
"","Mikal Bridges","Nyk","*","G-F","29.5","67","33.6","17.5","7.9","81","0.827","469","0.576","352","0.378","0.572","0.587","15","4.1","3.9","1.4","0.8","1","19.1","18.9","23.1","7.4","125.6","111.2"
"","Peyton Watson","Den","*","G","23.5","49","30.6","20.2","13.9","176","0.727","352","0.537","180","0.417","0.567","0.6","14.9","4.9","2","1","1.2","1.8","19.8","16.9","21.8","6.9","113","111.6"
"","Kyshawn George","Was","*","F","22.2","48","29","22.8","17.8","131","0.802","317","0.486","260","0.381","0.524","0.559","14.8","5.1","4.5","1","0.9","2.6","19.9","19.3","24.4","9.6","107.9","112.9"
"","Jaden McDaniels","Min","*","F","25.4","64","31.9","18.1","14.6","159","0.849","474","0.561","215","0.423","0.584","0.619","14.7","4.3","2.8","1.1","1","1.8","19","17.5","21.8","7","118.7","107.9"
"","Kelly Oubre Jr.","Phi","*","F-G","30.3","41","32.4","18.4","11.4","137","0.759","253","0.545","205","0.361","0.544","0.581","14.7","4.9","1.7","1.3","0.5","1.4","19.5","16.4","21.3","6.1","114.4","111.8"
"","Trae Young","Was","*","G","27.5","2","18.4","31.9","31.4","14","0.643","5","0.8","10","0.4","0.667","0.685","14.5","3","7","1","0","3.5","17.5","21.5","24.5","14.6","123.8","117.7"
"","Walker Kessler","Uta","*","C","24.6","5","30.8","16.6","30","20","0.7","29","0.69","8","0.75","0.784","0.786","14.4","10.8","3","1.4","1.8","3.2","25.2","17.4","28.2","10.1","130","107.7"
"","Ivica Zubac","Lac","*","C","29","43","30.9","19","16","132","0.705","429","0.613","0","0","0.613","0.635","14.4","11","2.2","0.4","0.8","1.9","25.4","16.6","27.6","9.1","126.3","108.9"
"","Ajay Mitchell","Okc","*","G","23.7","44","26.3","22.4","12.6","136","0.875","331","0.55","141","0.348","0.541","0.592","14.3","3.4","3.6","1.4","0.3","1.5","17.8","18","21.4","8.5","118.5","103.7"
"","Devin Vassell","San","*","G-F","25.5","52","30.6","18.4","7.5","101","0.802","261","0.513","341","0.381","0.547","0.572","14.2","3.9","2.4","0.8","0.4","0.9","18.1","16.6","20.5","6.7","116.8","110.6"
"","Anfernee Simons","Bos","","G","26.8","49","24.5","23.7","9","72","0.889","239","0.502","329","0.395","0.555","0.579","14.2","2.4","2.4","0.6","0.1","1.1","16.6","16.5","18.9","7.1","119","112.3"
"","Collin Sexton","Cha","","G","27.2","42","22.3","25.7","17.7","154","0.877","269","0.539","145","0.393","0.557","0.619","14.2","1.9","3.7","0.9","0.2","2.1","16.1","17.9","19.8","8.3","119.9","111.1"
"","Keegan Murray","Sac","*","F","25.6","23","34.5","18.7","8.2","49","0.776","188","0.505","112","0.277","0.472","0.499","14","5.7","1.7","1","1.6","1.2","19.7","15.6","21.3","6","103.7","119.4"
"","De'Andre Hunter","Cle","","F-G","28.3","43","26.2","22.9","12.8","137","0.869","245","0.535","237","0.308","0.499","0.553","14","4.2","2.1","0.7","0.2","1.7","18.2","16","20.3","7.6","109","108.7"
"","Tim Hardaway Jr.","Den","*","G-F","34","65","27.3","18.4","5.2","163","0.81","198","0.566","445","0.413","0.603","0.635","14","2.6","1.3","0.5","0.1","0.5","16.6","15.3","17.9","5.3","125.4","117.7"
"","Santi Aldama","Mem","*","F-C","25.2","43","27.9","20.1","10.4","114","0.667","276","0.572","200","0.35","0.553","0.572","14","6.7","2.9","0.9","0.7","1.3","20.7","16.9","23.6","9.3","117.4","113"
"","Naz Reid","Min","*","C-F","26.5","65","26.1","21.9","12.4","98","0.704","343","0.577","390","0.374","0.569","0.582","13.9","6.3","2.3","1","1","1.6","20.2","16.2","22.6","9","113.4","105.7"
"","P.J. Washington","Dal","*","F","27.6","47","30.8","20.5","13.7","160","0.675","360","0.508","190","0.311","0.494","0.525","13.9","6.8","1.9","1","1.2","1.9","20.7","15.7","22.6","7.3","102.3","110.1"
"","Jordan Poole","Nor","*","G","26.7","33","24.5","25","13.4","100","0.88","135","0.437","247","0.34","0.484","0.538","13.9","2.1","3.1","0.6","0.4","1.8","16","16.9","19","7.3","107.4","115.1"
